Name	Status	Percentage	Coverage
SERANGOON GARDEN TERRACE			excellent
SERANGOON GARDEN WAY			excellent
SERANGOON LANE			excellent
SERANGOON LINK			excellent
SERANGOON NORTH AVENUE 1			excellent
SERANGOON NORTH AVENUE 2			excellent
SERANGOON NORTH AVENUE 3			excellent
SERANGOON NORTH AVENUE 4			excellent
SERANGOON NORTH AVENUE 5			excellent
SERANGOON NORTH AVENUE 6			excellent
SERANGOON NORTH VIEW			excellent
SERANGOON TERRACE			excellent
SOMMERVILLE ROAD			excellent
SOMMERVILLE WALK			excellent
ST. HELIER'S AVENUE			excellent
STOKESAY DRIVE			excellent
STRATTON DRIVE			excellent
STRATTON GREEN			excellent
STRATTON PLACE			excellent
STRATTON ROAD			excellent
STRATTON WALK			excellent
SUMMER PLACE			excellent
SUNDRIDGE PARK ROAD			excellent
SUNSHINE TERRACE			excellent
TAI HWAN AVENUE			excellent
TAI HWAN CLOSE			excellent
TAI HWAN CRESCENT			excellent
TAI HWAN DRIVE			excellent
TAI HWAN GROVE			excellent
TAI HWAN HEIGHTS			excellent
TAI HWAN LANE			excellent
TAI HWAN PLACE			excellent
TAI HWAN TERRACE			excellent
TAI HWAN WALK			excellent
TAI YUAN HEIGHTS			excellent
TAMARIND ROAD			excellent
TAVISTOCK AVENUE			excellent
UPPER NERAM ROAD			excellent
UPPER PAYA LEBAR ROAD			excellent
VAUGHAN ROAD			excellent
WALMER DRIVE			excellent
WOLSKEL ROAD			excellent
WORTHING ROAD			excellent
YIO CHU KANG LINK			excellent
YORK PLACE			excellent
CHUAN GROVE			excellent
BOUNDARY CLOSE			weak
