BB,BB Smoothed,BP,BP Smoothed,SB,SB Smoothed,VB,VBSmoothed,CycleRAP score,CycleRAP score Smoothed,BB Band,BP Band,SB Band,VB Band,CycleRAP score Band,BB Smoothed.1,BP Smoothed.1,SB Smoothed.1,VB Smoothed
2.7,2.7,2.7,2.7,2.7,2.7,0.0,0.0,8.1,8.1,Low,Low,Low,Low,Low,Low,Low,Medium,Low
2.7,2.7563897026278688,2.7,2.7563897026278688,5.4,5.5127794052557375,1.2468351552560843,1.302914362733634,12.046835155256083,12.32847317324511,Low,Low,Medium,Low,Medium,Low,Low,Medium,Low
2.9819485131393457,2.7563897026278688,2.9819485131393457,2.7563897026278688,5.9638970262786914,5.5127794052557375,1.527231192643833,1.302914362733634,13.455025245201217,12.32847317324511,Low,Low,Medium,Low,Medium,Low,Low,Medium,Low
2.7,2.7563897026278688,2.7,2.7563897026278688,5.4,5.5127794052557375,1.2468351552560843,1.302914362733634,12.046835155256083,12.32847317324511,Low,Low,Medium,Low,Medium,Low,Low,Medium,Low
2.7,2.7563897026278688,2.7,2.7563897026278688,5.4,5.5127794052557375,1.2468351552560843,1.302914362733634,12.046835155256083,12.32847317324511,Low,Low,Medium,Low,Medium,Low,Low,Medium,Low
2.7,2.7563897026278688,2.7,2.7563897026278688,5.4,5.5127794052557375,1.2468351552560843,1.302914362733634,12.046835155256083,12.32847317324511,Low,Low,Medium,Low,Medium,Low,Low,Medium,Low
2.7,2.7,2.7,2.7,2.7,2.7,0.0,0.0,8.1,8.1,Low,Low,Low,Low,Low,Low,Low,Medium,Low
2.7,2.8409742565696727,2.7,2.8409742565696727,5.4,4.190974256569673,0.6786390446848767,0.4088759436551896,11.478639044684876,10.281798713364209,Low,Low,Medium,Low,Medium,Low,Low,Medium,Low
2.9819485131393457,2.8409742565696727,2.9819485131393457,2.8409742565696727,2.9819485131393457,4.190974256569673,0.1391128426255025,0.4088759436551896,9.08495838204354,10.281798713364209,Low,Low,Low,Low,Low,Low,Low,Medium,Low
2.7,2.7,2.7,2.7,2.7,2.7,0.0,0.0,8.1,8.1,Low,Low,Low,Low,Low,Low,Low,Medium,Low
2.7,2.7,2.7,2.7,2.7,2.7,0.0,0.0,8.1,8.1,Low,Low,Low,Low,Low,Low,Low,Medium,Low
2.9819485131393457,2.9819485131393457,2.9819485131393457,2.9819485131393457,2.9819485131393457,2.9819485131393457,0.1456481929597613,0.1456481929597613,9.0914937323778,9.0914937323778,Low,Low,Low,Low,Low,Low,Low,Medium,Low
2.7,2.7,2.7,2.7,2.7,2.7,0.0,0.0,8.1,8.1,Low,Low,Low,Low,Low,Low,Low,Medium,Low
2.7,2.7,2.7,2.7,2.7,2.7,0.0,0.0,8.1,8.1,Low,Low,Low,Low,Low,Low,Low,Medium,Low
2.7,2.7,2.7,2.7,5.4,5.4,7.221541821536727,5.023289121628581,18.02154182153673,15.82328912162858,Low,Low,Medium,Low,Medium,Low,Low,Medium,Low
2.7,2.7,2.7,2.7,5.4,5.4,2.825036421720436,5.023289121628581,13.625036421720434,15.82328912162858,Low,Low,Medium,Low,Medium,Low,Low,Medium,Low
2.7,2.7,2.7,2.7,2.7,2.7,0.0,0.0,8.1,8.1,Low,Low,Low,Low,Low,Low,Low,Medium,Low
2.7,2.7,2.7,2.7,5.4,5.4,7.221541821536727,7.221541821536727,18.02154182153673,18.02154182153673,Low,Low,Medium,Low,Medium,Low,Low,Medium,Low
2.7,2.7,2.7,2.7,2.7,2.7,0.0,0.0,8.1,8.1,Low,Low,Low,Low,Low,Low,Low,Medium,Low
2.7,2.7,2.7,2.7,2.7,2.7,0.0,0.0,8.1,8.1,Low,Low,Low,Low,Low,Low,Low,Medium,Low
2.7,2.7,2.7,2.7,2.7,2.7,0.0,0.0,8.1,8.1,Low,Low,Low,Low,Low,Low,Low,Medium,Low
2.7,2.7,2.7,2.7,2.7,2.7,0.0,0.0,8.1,8.1,Low,Low,Low,Low,Low,Low,Low,Medium,Low
2.7,2.7,2.7,2.7,2.7,2.7,0.0,0.0,8.1,8.1,Low,Low,Low,Low,Low,Low,Low,Medium,Low
2.7,2.7,2.7,2.7,2.7,2.7,0.0,0.0,8.1,8.1,Low,Low,Low,Low,Low,Low,Low,Medium,Low
2.7,2.7,2.7,2.7,2.7,2.7,0.0,0.0,8.1,8.1,Low,Low,Low,Low,Low,Low,Low,Medium,Low
2.9819485131393457,2.8409742565696727,2.9819485131393457,2.8409742565696727,2.9819485131393457,4.190974256569673,0.2115602935364255,1.4248921196029007,9.157405832954463,11.29781488931192,Low,Low,Low,Low,Low,Low,Low,Medium,Low
2.7,2.8409742565696727,2.7,2.8409742565696727,5.4,4.190974256569673,2.638223945669376,1.4248921196029007,13.438223945669376,11.29781488931192,Low,Low,Medium,Low,Medium,Low,Low,Medium,Low
2.7,2.7,2.7,2.7,2.7,2.7,0.0,0.0,8.1,8.1,Low,Low,Low,Low,Low,Low,Low,Medium,Low
2.7,2.7,2.7,2.7,2.7,2.7,0.0,0.0,8.1,8.1,Low,Low,Low,Low,Low,Low,Low,Medium,Low
2.9819485131393457,2.8879656754262304,2.9819485131393457,2.8879656754262304,2.9819485131393457,3.7879656754262303,0.1493767269049568,0.3424877213610917,9.095222266322995,9.906384747639784,Low,Low,Low,Low,Low,Low,Low,Medium,Low
2.9819485131393457,2.8879656754262304,2.9819485131393457,2.8879656754262304,2.9819485131393457,3.7879656754262303,0.1493767269049568,0.3424877213610917,9.095222266322995,9.906384747639784,Low,Low,Low,Low,Low,Low,Low,Medium,Low
2.7,2.8879656754262304,2.7,2.8879656754262304,5.4,3.7879656754262303,0.7287097102733612,0.3424877213610917,11.52870971027336,9.906384747639784,Low,Low,Medium,Low,Medium,Low,Low,Medium,Low
2.7,2.7,2.7,2.7,2.7,2.7,0.0,0.0,8.1,8.1,Low,Low,Low,Low,Low,Low,Low,Medium,Low
