path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
upper_paya_lebar_road,Upper Paya Lebar Road,86.0,32913.192,37140.369,17.743,17.743,17.958,,,UPPER PAYA LEBAR ROAD,12.03
upper_paya_lebar_road,Upper Paya Lebar Road,88.0,32915.139,37139.911,18.608,18.647,18.647,,,UPPER PAYA LEBAR ROAD,12.267
upper_paya_lebar_road,Upper Paya Lebar Road,90.0,32917.086,37139.454,22.274,19.55,19.55,,,UPPER PAYA LEBAR ROAD,12.504
upper_paya_lebar_road,Upper Paya Lebar Road,92.0,32919.034,37139.002,26.538,20.453,20.453,,,UPPER PAYA LEBAR ROAD,12.747
upper_paya_lebar_road,Upper Paya Lebar Road,94.0,32921.033,37139.04,26.913,,21.356,,,UPPER PAYA LEBAR ROAD,13.467
upper_paya_lebar_road,Upper Paya Lebar Road,96.0,32923.033,37139.077,28.368,,22.259,,,UPPER PAYA LEBAR ROAD,14.223
upper_paya_lebar_road,Upper Paya Lebar Road,98.0,32925.033,37139.115,24.912,23.162,23.162,,,UPPER PAYA LEBAR ROAD,14.988
upper_paya_lebar_road,Upper Paya Lebar Road,100.0,32927.032,37139.153,25.143,24.065,24.065,,,UPPER PAYA LEBAR ROAD,15.753
upper_paya_lebar_road,Upper Paya Lebar Road,102.0,32929.019,37139.06,23.513,24.968,24.968,,,UPPER PAYA LEBAR ROAD,16.392
upper_paya_lebar_road,Upper Paya Lebar Road,104.0,32930.973,37138.632,25.871,25.871,25.72,,,UPPER PAYA LEBAR ROAD,16.707
upper_paya_lebar_road,Upper Paya Lebar Road,106.0,32932.926,37138.204,25.336,25.795,25.72,,,UPPER PAYA LEBAR ROAD,17.022
upper_paya_lebar_road,Upper Paya Lebar Road,108.0,32934.88,37137.776,26.051,25.72,25.72,-0.948,1.0,UPPER PAYA LEBAR ROAD,17.337
upper_paya_lebar_road,Upper Paya Lebar Road,110.0,32936.834,37137.348,25.649,25.644,25.72,,,UPPER PAYA LEBAR ROAD,17.652
upper_paya_lebar_road,Upper Paya Lebar Road,112.0,32938.677,37136.58,25.568,25.568,25.644,,,UPPER PAYA LEBAR ROAD,17.61
upper_paya_lebar_road,Upper Paya Lebar Road,114.0,32940.508,37135.777,25.769,25.769,25.568,,,UPPER PAYA LEBAR ROAD,17.531
upper_paya_lebar_road,Upper Paya Lebar Road,116.0,32942.34,37134.973,25.597,25.472,25.472,,,UPPER PAYA LEBAR ROAD,17.452
upper_paya_lebar_road,Upper Paya Lebar Road,118.0,32944.171,37134.17,25.786,25.174,25.174,,,UPPER PAYA LEBAR ROAD,17.372
upper_paya_lebar_road,Upper Paya Lebar Road,120.0,32946.003,37133.366,25.524,24.587,24.587,,,UPPER PAYA LEBAR ROAD,17.293
upper_paya_lebar_road,Upper Paya Lebar Road,122.0,32947.828,37132.549,24.391,23.999,23.999,,,UPPER PAYA LEBAR ROAD,17.199
upper_paya_lebar_road,Upper Paya Lebar Road,124.0,32949.621,37131.663,23.278,23.412,23.412,,,UPPER PAYA LEBAR ROAD,17.029
upper_paya_lebar_road,Upper Paya Lebar Road,126.0,32951.415,37130.778,20.423,,23.118,,,UPPER PAYA LEBAR ROAD,16.86
upper_paya_lebar_road,Upper Paya Lebar Road,128.0,32953.208,37129.892,20.593,,22.824,,,UPPER PAYA LEBAR ROAD,16.69
upper_paya_lebar_road,Upper Paya Lebar Road,130.0,32955.001,37129.007,17.248,,22.237,,,UPPER PAYA LEBAR ROAD,16.52
upper_paya_lebar_road,Upper Paya Lebar Road,132.0,32956.838,37128.238,20.928,,20.474,,,UPPER PAYA LEBAR ROAD,16.475
upper_paya_lebar_road,Upper Paya Lebar Road,178.0,33001.954,37119.346,18.124,,19.886,,,UPPER PAYA LEBAR ROAD,25.943
upper_paya_lebar_road,Upper Paya Lebar Road,180.0,33003.921,37118.983,17.304,,19.593,,,UPPER PAYA LEBAR ROAD,26.42
upper_paya_lebar_road,Upper Paya Lebar Road,182.0,33005.887,37118.62,17.476,19.299,19.299,,,UPPER PAYA LEBAR ROAD,26.897
upper_paya_lebar_road,Upper Paya Lebar Road,184.0,33007.854,37118.257,18.844,18.711,18.711,,,UPPER PAYA LEBAR ROAD,27.374
upper_paya_lebar_road,Upper Paya Lebar Road,186.0,33009.821,37117.895,18.057,18.124,18.124,,,UPPER PAYA LEBAR ROAD,27.851
upper_paya_lebar_road,Upper Paya Lebar Road,188.0,33011.791,37117.559,18.181,17.536,17.813,,,UPPER PAYA LEBAR ROAD,28.353
upper_paya_lebar_road,Upper Paya Lebar Road,190.0,33013.79,37117.5,17.556,17.556,17.813,,,UPPER PAYA LEBAR ROAD,29.121
upper_paya_lebar_road,Upper Paya Lebar Road,192.0,33015.789,37117.442,17.582,17.813,17.813,,,UPPER PAYA LEBAR ROAD,29.889
upper_paya_lebar_road,Upper Paya Lebar Road,194.0,33017.788,37117.383,17.702,18.069,18.069,,,UPPER PAYA LEBAR ROAD,30.656
upper_paya_lebar_road,Upper Paya Lebar Road,196.0,33019.787,37117.325,17.712,19.304,19.304,,,UPPER PAYA LEBAR ROAD,31.424
upper_paya_lebar_road,Upper Paya Lebar Road,198.0,33021.786,37117.266,18.18,20.54,20.54,,,UPPER PAYA LEBAR ROAD,32.192
upper_paya_lebar_road,Upper Paya Lebar Road,200.0,33023.763,37117.119,19.472,21.775,21.775,,,UPPER PAYA LEBAR ROAD,32.869
upper_paya_lebar_road,Upper Paya Lebar Road,202.0,33025.545,37116.211,,23.011,23.011,,,UPPER PAYA LEBAR ROAD,32.773
