path_key,source_project,chainage_m,x_svy21,y_svy21,elevation_m_raw,elevation_m_filtered,elevation_m_smooth,gradient_pct,Grade,nearest_road_name,nearest_road_dist_m
upper_paya_lebar_road,Upper Paya Lebar Road,216.0,33038.018,37109.854,21.004,,21.491,,,UPPER PAYA LEBAR ROAD,32.098
upper_paya_lebar_road,Upper Paya Lebar Road,218.0,33039.8,37108.946,18.579,,21.797,,,UPPER PAYA LEBAR ROAD,32.002
upper_paya_lebar_road,Upper Paya Lebar Road,220.0,33041.582,37108.038,19.03,,22.104,,,UPPER PAYA LEBAR ROAD,31.906
upper_paya_lebar_road,Upper Paya Lebar Road,222.0,33043.364,37107.129,22.6,,22.41,,,UPPER PAYA LEBAR ROAD,31.81
upper_paya_lebar_road,Upper Paya Lebar Road,224.0,33045.091,37106.149,18.679,22.716,22.716,,,UPPER PAYA LEBAR ROAD,31.625
upper_paya_lebar_road,Upper Paya Lebar Road,226.0,33046.45,37104.681,23.406,23.022,23.022,13.533,2.0,UPPER PAYA LEBAR ROAD,30.845
upper_paya_lebar_road,Upper Paya Lebar Road,228.0,33047.809,37103.214,21.584,23.328,23.328,13.533,2.0,UPPER PAYA LEBAR ROAD,30.064
upper_paya_lebar_road,Upper Paya Lebar Road,230.0,33049.167,37101.746,20.456,23.634,23.634,,,UPPER PAYA LEBAR ROAD,29.284
upper_paya_lebar_road,Upper Paya Lebar Road,232.0,33050.526,37100.278,17.996,23.941,23.941,,,UPPER PAYA LEBAR ROAD,28.504
upper_paya_lebar_road,Upper Paya Lebar Road,234.0,33051.884,37098.811,18.112,24.247,24.247,,,UPPER PAYA LEBAR ROAD,27.723
upper_paya_lebar_road,Upper Paya Lebar Road,236.0,33053.243,37097.343,23.371,24.553,24.553,,,UPPER PAYA LEBAR ROAD,26.943
upper_paya_lebar_road,Upper Paya Lebar Road,238.0,33054.601,37095.875,28.256,24.859,24.859,,,UPPER PAYA LEBAR ROAD,26.163
upper_paya_lebar_road,Upper Paya Lebar Road,240.0,33055.96,37094.407,26.755,,25.165,,,UPPER PAYA LEBAR ROAD,25.383
upper_paya_lebar_road,Upper Paya Lebar Road,242.0,33057.319,37092.94,20.239,,25.471,,,UPPER PAYA LEBAR ROAD,24.679
upper_paya_lebar_road,Upper Paya Lebar Road,244.0,33058.677,37091.472,23.524,,25.778,,,UPPER PAYA LEBAR ROAD,24.122
upper_paya_lebar_road,Upper Paya Lebar Road,246.0,33060.036,37090.004,19.841,,26.084,,,UPPER PAYA LEBAR ROAD,23.72
upper_paya_lebar_road,Upper Paya Lebar Road,248.0,33061.394,37088.536,31.739,26.39,26.39,,,UPPER PAYA LEBAR ROAD,23.43
upper_paya_lebar_road,Upper Paya Lebar Road,250.0,33062.753,37087.069,31.228,26.696,26.696,,,UPPER PAYA LEBAR ROAD,23.144
upper_paya_lebar_road,Upper Paya Lebar Road,252.0,33064.112,37085.601,27.322,27.002,27.002,,,UPPER PAYA LEBAR ROAD,22.858
upper_paya_lebar_road,Upper Paya Lebar Road,254.0,33065.47,37084.133,24.859,27.308,27.28,,,UPPER PAYA LEBAR ROAD,22.572
upper_paya_lebar_road,Upper Paya Lebar Road,256.0,33066.959,37082.811,29.013,27.294,27.28,,,UPPER PAYA LEBAR ROAD,22.481
upper_paya_lebar_road,Upper Paya Lebar Road,258.0,33068.566,37081.62,27.28,27.28,27.28,,,UPPER PAYA LEBAR ROAD,22.567
upper_paya_lebar_road,Upper Paya Lebar Road,260.0,33070.173,37080.429,25.907,27.025,27.025,,,UPPER PAYA LEBAR ROAD,22.653
upper_paya_lebar_road,Upper Paya Lebar Road,262.0,33071.797,37079.263,23.53,26.769,26.769,,,UPPER PAYA LEBAR ROAD,22.768
upper_paya_lebar_road,Upper Paya Lebar Road,264.0,33073.429,37078.106,26.554,26.513,26.513,,,UPPER PAYA LEBAR ROAD,22.896
upper_paya_lebar_road,Upper Paya Lebar Road,266.0,33075.061,37076.95,26.107,26.258,26.258,,,UPPER PAYA LEBAR ROAD,23.024
upper_paya_lebar_road,Upper Paya Lebar Road,268.0,33076.692,37075.793,26.243,26.002,26.002,,,UPPER PAYA LEBAR ROAD,23.151
upper_paya_lebar_road,Upper Paya Lebar Road,270.0,33078.324,37074.637,28.397,25.746,25.746,,,UPPER PAYA LEBAR ROAD,23.279
upper_paya_lebar_road,Upper Paya Lebar Road,272.0,33079.958,37073.484,19.028,25.491,25.491,,,UPPER PAYA LEBAR ROAD,23.411
upper_paya_lebar_road,Upper Paya Lebar Road,274.0,33081.595,37072.334,22.14,25.235,25.425,,,UPPER PAYA LEBAR ROAD,23.547
upper_paya_lebar_road,Upper Paya Lebar Road,276.0,33083.231,37071.184,22.089,25.33,25.425,,,UPPER PAYA LEBAR ROAD,23.683
upper_paya_lebar_road,Upper Paya Lebar Road,278.0,33084.867,37070.034,24.563,25.425,25.425,,,UPPER PAYA LEBAR ROAD,23.819
upper_paya_lebar_road,Upper Paya Lebar Road,280.0,33086.504,37068.884,25.879,25.52,25.52,,,UPPER PAYA LEBAR ROAD,23.954
upper_paya_lebar_road,Upper Paya Lebar Road,282.0,33088.14,37067.734,31.769,25.615,25.615,,,UPPER PAYA LEBAR ROAD,24.09
upper_paya_lebar_road,Upper Paya Lebar Road,284.0,33089.776,37066.584,30.076,25.71,25.71,,,UPPER PAYA LEBAR ROAD,24.226
upper_paya_lebar_road,Upper Paya Lebar Road,286.0,33091.186,37065.176,27.32,25.806,25.806,,,UPPER PAYA LEBAR ROAD,24.018
upper_paya_lebar_road,Upper Paya Lebar Road,288.0,33092.536,37063.7,29.824,25.901,25.887,,,UPPER PAYA LEBAR ROAD,23.721
upper_paya_lebar_road,Upper Paya Lebar Road,290.0,33093.886,37062.225,27.784,25.996,25.887,,,UPPER PAYA LEBAR ROAD,23.424
upper_paya_lebar_road,Upper Paya Lebar Road,292.0,33094.078,37061.814,27.773,25.887,25.899,,,UPPER PAYA LEBAR ROAD,23.225
upper_paya_lebar_road,Upper Paya Lebar Road,294.0,33092.493,37063.035,31.813,25.778,25.899,,,UPPER PAYA LEBAR ROAD,23.177
upper_paya_lebar_road,Upper Paya Lebar Road,296.0,33090.909,37064.255,22.841,25.899,25.899,,,UPPER PAYA LEBAR ROAD,23.128
upper_paya_lebar_road,Upper Paya Lebar Road,298.0,33089.325,37065.476,31.092,26.021,26.021,,,UPPER PAYA LEBAR ROAD,23.08
upper_paya_lebar_road,Upper Paya Lebar Road,300.0,33087.74,37066.696,24.789,26.142,26.142,,,UPPER PAYA LEBAR ROAD,23.032
upper_paya_lebar_road,Upper Paya Lebar Road,302.0,33086.156,37067.917,22.456,26.264,26.264,,,UPPER PAYA LEBAR ROAD,22.983
upper_paya_lebar_road,Upper Paya Lebar Road,304.0,33084.571,37069.137,22.308,26.385,26.385,,,UPPER PAYA LEBAR ROAD,22.935
upper_paya_lebar_road,Upper Paya Lebar Road,306.0,33082.987,37070.358,29.698,26.507,26.507,,,UPPER PAYA LEBAR ROAD,22.887
upper_paya_lebar_road,Upper Paya Lebar Road,308.0,33081.403,37071.578,22.604,26.629,26.629,,,UPPER PAYA LEBAR ROAD,22.839
upper_paya_lebar_road,Upper Paya Lebar Road,310.0,33079.818,37072.799,19.846,26.75,26.75,,,UPPER PAYA LEBAR ROAD,22.79
upper_paya_lebar_road,Upper Paya Lebar Road,312.0,33078.234,37074.019,28.655,26.872,26.872,,,UPPER PAYA LEBAR ROAD,22.742
upper_paya_lebar_road,Upper Paya Lebar Road,314.0,33076.649,37075.24,29.107,26.993,26.993,,,UPPER PAYA LEBAR ROAD,22.694
upper_paya_lebar_road,Upper Paya Lebar Road,316.0,33075.065,37076.46,27.361,27.115,27.115,,,UPPER PAYA LEBAR ROAD,22.645
upper_paya_lebar_road,Upper Paya Lebar Road,318.0,33073.48,37077.681,23.23,27.236,27.236,,,UPPER PAYA LEBAR ROAD,22.597
upper_paya_lebar_road,Upper Paya Lebar Road,320.0,33071.896,37078.901,26.524,27.358,27.358,,,UPPER PAYA LEBAR ROAD,22.549
upper_paya_lebar_road,Upper Paya Lebar Road,322.0,33070.312,37080.122,24.732,27.48,27.48,,,UPPER PAYA LEBAR ROAD,22.501
upper_paya_lebar_road,Upper Paya Lebar Road,324.0,33068.727,37081.342,30.544,27.748,27.48,,,UPPER PAYA LEBAR ROAD,22.452
upper_paya_lebar_road,Upper Paya Lebar Road,326.0,33067.143,37082.563,28.524,27.682,27.48,,,UPPER PAYA LEBAR ROAD,22.404
upper_paya_lebar_road,Upper Paya Lebar Road,328.0,33065.558,37083.783,24.864,27.445,27.445,,,UPPER PAYA LEBAR ROAD,22.356
upper_paya_lebar_road,Upper Paya Lebar Road,330.0,33063.974,37085.004,28.047,27.208,27.208,,,UPPER PAYA LEBAR ROAD,22.308
upper_paya_lebar_road,Upper Paya Lebar Road,332.0,33062.39,37086.224,30.967,26.811,26.811,,,UPPER PAYA LEBAR ROAD,22.259
upper_paya_lebar_road,Upper Paya Lebar Road,334.0,33060.805,37087.445,29.972,26.415,26.415,,,UPPER PAYA LEBAR ROAD,22.211
upper_paya_lebar_road,Upper Paya Lebar Road,336.0,33059.221,37088.665,25.102,26.018,26.018,,,UPPER PAYA LEBAR ROAD,22.164
upper_paya_lebar_road,Upper Paya Lebar Road,338.0,33057.636,37089.886,24.624,,25.819,,,UPPER PAYA LEBAR ROAD,22.224
upper_paya_lebar_road,Upper Paya Lebar Road,340.0,33056.052,37091.106,21.95,,25.621,,,UPPER PAYA LEBAR ROAD,22.464
upper_paya_lebar_road,Upper Paya Lebar Road,342.0,33054.468,37092.327,22.259,,25.422,,,UPPER PAYA LEBAR ROAD,22.872
upper_paya_lebar_road,Upper Paya Lebar Road,344.0,33052.883,37093.547,28.523,,24.43,,,UPPER PAYA LEBAR ROAD,23.334
upper_paya_lebar_road,Upper Paya Lebar Road,346.0,33051.299,37094.768,20.188,,23.438,,,UPPER PAYA LEBAR ROAD,23.797
upper_paya_lebar_road,Upper Paya Lebar Road,348.0,33049.714,37095.988,20.771,,23.24,,,UPPER PAYA LEBAR ROAD,24.259
upper_paya_lebar_road,Upper Paya Lebar Road,350.0,33048.13,37097.209,21.203,,23.041,,,UPPER PAYA LEBAR ROAD,24.721
upper_paya_lebar_road,Upper Paya Lebar Road,352.0,33046.545,37098.429,21.282,22.843,22.843,,,UPPER PAYA LEBAR ROAD,25.183
upper_paya_lebar_road,Upper Paya Lebar Road,354.0,33044.961,37099.65,21.592,22.446,22.446,,,UPPER PAYA LEBAR ROAD,25.645
upper_paya_lebar_road,Upper Paya Lebar Road,356.0,33043.377,37100.87,21.819,22.049,22.049,,,UPPER PAYA LEBAR ROAD,26.108
upper_paya_lebar_road,Upper Paya Lebar Road,358.0,33041.792,37102.091,20.543,21.652,21.652,,,UPPER PAYA LEBAR ROAD,26.57
upper_paya_lebar_road,Upper Paya Lebar Road,360.0,33040.208,37103.311,23.222,21.486,21.486,,,UPPER PAYA LEBAR ROAD,27.032
upper_paya_lebar_road,Upper Paya Lebar Road,362.0,33038.623,37104.532,22.582,21.319,21.319,,,UPPER PAYA LEBAR ROAD,27.494
upper_paya_lebar_road,Upper Paya Lebar Road,364.0,33037.039,37105.752,20.72,21.152,21.152,,,UPPER PAYA LEBAR ROAD,27.956
upper_paya_lebar_road,Upper Paya Lebar Road,366.0,33035.455,37106.973,19.51,20.986,20.986,,,UPPER PAYA LEBAR ROAD,28.419
upper_paya_lebar_road,Upper Paya Lebar Road,368.0,33033.87,37108.193,24.442,20.819,20.819,,,UPPER PAYA LEBAR ROAD,28.881
upper_paya_lebar_road,Upper Paya Lebar Road,370.0,33032.286,37109.414,17.596,20.652,20.652,,,UPPER PAYA LEBAR ROAD,29.343
upper_paya_lebar_road,Upper Paya Lebar Road,372.0,33030.701,37110.634,18.447,20.485,20.485,,,UPPER PAYA LEBAR ROAD,29.805
upper_paya_lebar_road,Upper Paya Lebar Road,374.0,33029.117,37111.855,19.872,20.319,20.477,,,UPPER PAYA LEBAR ROAD,30.267
upper_paya_lebar_road,Upper Paya Lebar Road,376.0,33027.532,37113.075,20.152,20.398,20.477,,,UPPER PAYA LEBAR ROAD,30.73
upper_paya_lebar_road,Upper Paya Lebar Road,378.0,33025.948,37114.296,18.546,20.477,20.477,,,UPPER PAYA LEBAR ROAD,31.192
upper_paya_lebar_road,Upper Paya Lebar Road,380.0,33024.364,37115.516,19.31,22.615,22.615,,,UPPER PAYA LEBAR ROAD,31.654
upper_paya_lebar_road,Upper Paya Lebar Road,382.0,33022.779,37116.737,19.503,24.754,24.754,,,UPPER PAYA LEBAR ROAD,32.116
upper_paya_lebar_road,Upper Paya Lebar Road,384.0,33021.195,37117.957,24.63,26.893,26.893,,,UPPER PAYA LEBAR ROAD,32.578
upper_paya_lebar_road,Upper Paya Lebar Road,386.0,33019.61,37119.178,36.047,29.031,29.031,,,UPPER PAYA LEBAR ROAD,33.041
upper_paya_lebar_road,Upper Paya Lebar Road,388.0,33018.026,37120.398,48.024,31.17,31.17,,,UPPER PAYA LEBAR ROAD,33.503
upper_paya_lebar_road,Upper Paya Lebar Road,390.0,33016.442,37121.619,48.444,33.309,33.309,,,UPPER PAYA LEBAR ROAD,33.965
upper_paya_lebar_road,Upper Paya Lebar Road,392.0,33014.857,37122.839,43.243,,35.447,,,UPPER PAYA LEBAR ROAD,34.427
upper_paya_lebar_road,Upper Paya Lebar Road,394.0,33013.273,37124.06,48.279,,37.586,,,UPPER PAYA LEBAR ROAD,34.889
upper_paya_lebar_road,Upper Paya Lebar Road,510.0,32979.304,37213.71,,,39.725,,,UPPER PAYA LEBAR ROAD,31.065
upper_paya_lebar_road,Upper Paya Lebar Road,512.0,32978.136,37215.334,,41.863,41.863,,,UPPER PAYA LEBAR ROAD,29.076
upper_paya_lebar_road,Upper Paya Lebar Road,514.0,32976.841,37216.807,,44.002,44.002,,,UPPER PAYA LEBAR ROAD,27.114
upper_paya_lebar_road,Upper Paya Lebar Road,516.0,32975.047,37217.691,,46.141,46.141,,,UPPER PAYA LEBAR ROAD,25.262
upper_paya_lebar_road,Upper Paya Lebar Road,518.0,32973.253,37218.574,,48.279,48.279,,,UPPER PAYA LEBAR ROAD,23.41
upper_paya_lebar_road,Upper Paya Lebar Road,520.0,32971.458,37219.458,,48.279,48.279,,,UPPER PAYA LEBAR ROAD,21.558
upper_paya_lebar_road,Upper Paya Lebar Road,522.0,32969.664,37220.342,,48.279,48.279,,,UPPER PAYA LEBAR ROAD,19.706
upper_paya_lebar_road,Upper Paya Lebar Road,524.0,32967.87,37221.226,,48.279,48.279,,,UPPER PAYA LEBAR ROAD,17.854
upper_paya_lebar_road,Upper Paya Lebar Road,526.0,32966.133,37222.209,,48.279,48.279,,,UPPER PAYA LEBAR ROAD,15.966
upper_paya_lebar_road,Upper Paya Lebar Road,528.0,32964.467,37223.316,,48.279,48.279,,,UPPER PAYA LEBAR ROAD,14.032
upper_paya_lebar_road,Upper Paya Lebar Road,530.0,32962.801,37224.422,,48.279,48.279,,,UPPER PAYA LEBAR ROAD,12.098
