BB,BB Smoothed,BP,BP Smoothed,SB,SB Smoothed,VB,VBSmoothed,CycleRAP score,CycleRAP score Smoothed,BB Band,BP Band,SB Band,VB Band,CycleRAP score Band,BB Smoothed.1,BP Smoothed.1,SB Smoothed.1,VB Smoothed
2.6999999999999997,2.6999999999999997,2.6999999999999997,2.6999999999999997,2.6999999999999997,2.6999999999999997,0.0,0.0,8.1,8.1,Low,Low,Low,Low,Low,Low,Low,Medium,Low
2.6999999999999997,2.6999999999999997,2.6999999999999997,2.6999999999999997,5.3999999999999995,5.3999999999999995,1.2468351552560843,1.2468351552560843,12.046835155256083,12.046835155256083,Low,Low,Medium,Low,Medium,Low,Low,Medium,Low
2.6999999999999997,2.6999999999999997,2.6999999999999997,2.6999999999999997,5.3999999999999995,5.3999999999999995,1.2468351552560843,1.2468351552560843,12.046835155256083,12.046835155256083,Low,Low,Medium,Low,Medium,Low,Low,Medium,Low
2.6999999999999997,2.6999999999999997,2.6999999999999997,2.6999999999999997,5.3999999999999995,5.3999999999999995,1.2468351552560843,1.2468351552560843,12.046835155256083,12.046835155256083,Low,Low,Medium,Low,Medium,Low,Low,Medium,Low
2.6999999999999997,2.6999999999999997,2.6999999999999997,2.6999999999999997,5.3999999999999995,5.3999999999999995,1.2468351552560843,1.2468351552560843,12.046835155256083,12.046835155256083,Low,Low,Medium,Low,Medium,Low,Low,Medium,Low
2.6999999999999997,2.6999999999999997,2.6999999999999997,2.6999999999999997,5.3999999999999995,5.3999999999999995,1.2468351552560843,1.2468351552560843,12.046835155256083,12.046835155256083,Low,Low,Medium,Low,Medium,Low,Low,Medium,Low
2.6999999999999997,2.6999999999999997,2.6999999999999997,2.6999999999999997,2.6999999999999997,2.6999999999999997,0.0,0.0,8.1,8.1,Low,Low,Low,Low,Low,Low,Low,Medium,Low
2.6999999999999997,2.6999999999999997,2.6999999999999997,2.6999999999999997,5.3999999999999995,5.3999999999999995,0.6786390446848767,0.6786390446848767,11.478639044684876,11.478639044684876,Low,Low,Medium,Low,Medium,Low,Low,Medium,Low
2.6999999999999997,2.6999999999999997,2.6999999999999997,2.6999999999999997,2.6999999999999997,2.6999999999999997,0.0,0.0,8.1,8.1,Low,Low,Low,Low,Low,Low,Low,Medium,Low
2.6999999999999997,2.6999999999999997,2.6999999999999997,2.6999999999999997,2.6999999999999997,2.6999999999999997,0.0,0.0,8.1,8.1,Low,Low,Low,Low,Low,Low,Low,Medium,Low
